Bank_Name;LicenseNumber;Region;Deposits
СберБанк;1481;Москва и обл.;15285226990
ВТБ;1000;Санкт-Петербург и обл.;5100141334
Альфа-Банк;1326;Москва и обл.;1813467374
Газпромбанк;354;Москва и обл.;1475107805
Россельхозбанк;3349;Москва и обл.;1341921716
Банк Открытие;2209;Москва и обл.;880557927
Тинькофф Банк;2673;Москва и обл.;690222829
Райффайзенбанк;3292;Москва и обл.;669680509
Московский Кредитный Банк;1978;Москва и обл.;508834294
Совкомбанк;963;Костромская обл.;498955499
Почта Банк;650;Москва и обл.;351474417
Росбанк;2272;Москва и обл.;332014250
СМП Банк;3368;Москва и обл.;285982214
ЮниКредит Банк;1;Москва и обл.;284664711
Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;260291214
Хоум Кредит Банк;316;Москва и обл.;186318565
Россия;328;Санкт-Петербург и обл.;172391260
Уральский Банк Реконструкции и Развития;429;Свердловская обл.;169148948
Банк Уралсиб;30;Москва и обл.;161991357
Ситибанк;2557;Москва и обл.;154671996
Всероссийский Банк Развития Регионов;3287;Москва и обл.;136736204
Русский Стандарт;2289;Москва и обл.;135890474
РНКБ;1354;Симферополь;134086056
Московский Индустриальный Банк;912;Москва и обл.;125982449
МТС Банк;2268;Москва и обл.;114820040
Абсолют Банк;2306;Москва и обл.;109554643
Ак Барс;2590;Татарстан;106705797
Ренессанс Кредит;3354;Москва и обл.;98597571
Банк Зенит;3255;Москва и обл.;93296751
Кредит Европа Банк;3311;Москва и обл.;77264956
Кубань Кредит;2518;Краснодарский край;74388998
Транскапиталбанк;2210;Москва и обл.;72923759
Центр-инвест;2225;Ростовская обл.;71656701
Экспобанк;2998;Москва и обл.;67131329
Московский Областной Банк;1751;Москва и обл.;66493487
Банк ДОМ.РФ;2312;Москва и обл.;64639475
Локо-Банк;2707;Москва и обл.;64414237
СКБ-Банк;705;Свердловская обл.;63294668
Аверс;415;Татарстан;63279659
Металлинвестбанк;2440;Москва и обл.;62655940
Азиатско-Тихоокеанский Банк;1810;Амурская обл.;62457048
ОТП Банк;2766;Москва и обл.;55273843
Инвестторгбанк;2763;Москва и обл.;52947588
Таврический Банк;2304;Санкт-Петербург и обл.;47337782
Левобережный;1343;Новосибирская обл.;47185620
Новикомбанк;2546;Москва и обл.;46524767
Примсоцбанк;2733;Приморский край;44574579
СДМ-Банк;1637;Москва и обл.;42407757
Восточный Банк;1460;Амурская обл.;42059670
БКС Банк;101;Москва и обл.;36283575
Авангард;2879;Москва и обл.;35769420
Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;35010774
Солидарность;554;Самарская обл.;33263622
Челиндбанк;485;Челябинская обл.;33171851
ББР Банк;2929;Москва и обл.;33049150
Фора-Банк;1885;Москва и обл.;31627522
Союз;2307;Москва и обл.;30593390
Объединенный Капитал;2611;Санкт-Петербург и обл.;28463393
Челябинвестбанк;493;Челябинская обл.;28161338
РГС Банк;3073;Москва и обл.;27600628
Кредит Урал Банк;2584;Челябинская обл.;26157917
Приморье;3001;Приморский край;21620402
БыстроБанк;1745;Удмуртия;21315401
Международный Финансовый Клуб;2618;Москва и обл.;20998322
Газэнергобанк;3252;Калужская обл.;20478113
Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;19434371
Интерпрогрессбанк;600;Москва и обл.;19207562
Генбанк;2490;Симферополь;18896875
Алмазэргиэнбанк;2602;Саха (Якутия);17310728
Ланта-Банк;1920;Москва и обл.;16350018
Севергазбанк;2816;Вологодская обл.;16213767
Хлынов;254;Кировская обл.;14538813
НБД-Банк;1966;Нижегородская обл.;14497350
Экономбанк;1319;Саратовская обл.;14468000
Дальневосточный Банк;843;Приморский край;14116384
Урал ФД;249;Пермская обл.;13557618
Норвик Банк;902;Кировская обл.;13305410
НС Банк;3124;Москва и обл.;13269552
Квантмобайл Банк;1189;Москва и обл.;12214734
Кошелев-Банк;3300;Самарская обл.;12182502
Инбанк;1829;Москва и обл.;11826211
Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;11705288
РосДорБанк;1573;Москва и обл.;11644513
Национальный Стандарт;3421;Москва и обл.;11050352
ВУЗ-Банк;1557;Свердловская обл.;11019511
Акибанк;2587;Татарстан;10903074
Прио-Внешторгбанк;212;Рязанская обл.;10715817
Банк Жилищного Финансирования;3138;Москва и обл.;10635843
Банк Интеза;2216;Москва и обл.;10542699
Кольцо Урала;65;Свердловская обл.;10127989
Энерготрансбанк;1307;Калининградская обл.;9859376
Агропромкредит;2880;Москва и обл.;9503842
Пойдем!;2534;Москва и обл.;9100225
Джей энд Ти Банк;3061;Москва и обл.;9091303
Банк Акцепт;567;Новосибирская обл.;8904124
НК Банк;2755;Москва и обл.;8836946
Банк Оренбург;3269;Оренбургская обл.;8715174
НИКО-Банк;702;Оренбургская обл.;8595878
Москоммерцбанк;3365;Москва и обл.;7842386
Датабанк;646;Удмуртия;7737670
Александровский;53;Санкт-Петербург и обл.;7501339
Юг-Инвестбанк;2772;Краснодарский край;7248602
Екатеринбург;3161;Свердловская обл.;7060784
Реалист Банк;1067;Москва и обл.;7030399
БМ-Банк;2748;Москва и обл.;6575491
Эс-Би-Ай Банк;3185;Москва и обл.;6060397
Томскпромстройбанк;1720;Томская обл.;6011193
Алеф-Банк;2119;Москва и обл.;5894257
Татсоцбанк;480;Татарстан;5745234
Энергобанк;67;Татарстан;5698111
Промтрансбанк;2638;Башкортостан;5638298
Морской Банк;77;Москва и обл.;5511434
Снежинский;1376;Челябинская обл.;5486973
Сетелем Банк;2168;Москва и обл.;5117422
Форштадт;2208;Оренбургская обл.;5055998
Банк Казани;708;Татарстан;4948435
Нацинвестпромбанк;3077;Москва и обл.;4947264
Солид Банк;1329;Приморский край;4855226
Кузнецкбизнесбанк;1158;Кемеровская обл.;4667384
ЦентроКредит;121;Москва и обл.;4626772
Земский Банк;2900;Самарская обл.;4552501
Банк Фридом Финанс;1143;Москва и обл.;4549110
Ростфинанс;481;Ростовская обл.;4548069
Хакасский Муниципальный Банк;1049;Хакасия;4412181
Банк Раунд;2506;Москва и обл.;4387841
Банк Финсервис;3388;Москва и обл.;4289489
Руснарбанк;3403;Москва и обл.;4239386
Енисейский Объединенный Банк;2645;Красноярский край;4044190
Новобанк;1352;Новгородская обл.;3912896
Газтрансбанк;665;Краснодарский край;3882431
Банк БКФ;2684;Москва и обл.;3838425
Сибсоцбанк;2015;Алтайский край;3732849
Автоградбанк;1455;Татарстан;3721508
Трансстройбанк;2807;Москва и обл.;3584201
Роял Кредит Банк;783;Приморский край;3548421
Углеметбанк;2997;Челябинская обл.;3534717
Агророс;2860;Саратовская обл.;3177191
Венец;524;Ульяновская обл.;3169704
Банк Оранжевый;1659;Санкт-Петербург и обл.;3112888
Славия;2664;Москва и обл.;3063548
Кузнецкий;609;Пензенская обл.;3011098
Белгородсоцбанк;760;Белгородская обл.;2910150
Вологжанин;1896;Вологодская обл.;2857308
Первоуральскбанк;965;Свердловская обл.;2797133
РН Банк;170;Москва и обл.;2789193
Ставропольпромстройбанк;1288;Ставропольский край;2757941
Черноморский банк развития и реконструкции;3527;Симферополь;2724357
Гарант-Инвест;2576;Москва и обл.;2722404
Финам Банк;2799;Москва и обл.;2643518
СИАБ;3245;Санкт-Петербург и обл.;2549852
Саровбизнесбанк;2048;Нижегородская обл.;2546664
Крокус-Банк;2682;Москва и обл.;2543052
Горбанк;2982;Санкт-Петербург и обл.;2420762
Донкомбанк;492;Ростовская обл.;2359584
Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;2315155
Северный Народный Банк;2721;Коми;2281807
Ишбанк;2867;Москва и обл.;2106751
Бэнк оф Чайна;2309;Москва и обл.;2073541
Братский АНКБ;1144;Иркутская обл.;2064626
Запсибкомбанк;918;Тюменская обл.;2027469
ИНГ Банк;2495;Москва и обл.;2020098
Камский Коммерческий Банк;438;Татарстан;2009268
Итуруп;2390;Сахалинская обл.;1981650
Стройлесбанк;2995;Тюменская обл.;1975902
БСТ-Банк;2883;Кемеровская обл.;1913480
Аресбанк;2914;Москва и обл.;1866067
Владбизнесбанк;903;Владимирская обл.;1819220
Живаго Банк;2065;Рязанская обл.;1704000
Зираат Банк;2559;Москва и обл.;1679709
Тойота Банк;3470;Москва и обл.;1679016
Кубаньторгбанк;478;Краснодарский край;1671949
РЕСО Кредит;3450;Москва и обл.;1651313
Развитие-Столица;3013;Москва и обл.;1625007
Балтинвестбанк;3176;Санкт-Петербург и обл.;1604292
Банк Глобус;2438;Москва и обл.;1555859
Держава;2738;Москва и обл.;1531812
Кросна-Банк;2607;Москва и обл.;1510269
Газнефтьбанк;3223;Саратовская обл.;1502471
Алтайкапиталбанк;2659;Алтайский край;1490272
Долинск;857;Сахалинская обл.;1388454
Кузбассхимбанк;2868;Кемеровская обл.;1383777
Кетовский Коммерческий Банк;842;Курганская обл.;1372957
Яринтербанк;2564;Ярославская обл.;1352764
Йошкар-Ола;2802;Марий Эл;1276001
Арзамас;1281;Нижегородская обл.;1247154
Тендер-Банк;2252;Москва и обл.;1188001
Тольяттихимбанк;2507;Самарская обл.;1165849
ИТ Банк;2609;Омская обл.;1164974
Московский Коммерческий Банк;3172;Москва и обл.;1138317
Синко-Банк;2838;Москва и обл.;1092674
Уралпромбанк;2964;Челябинская обл.;1058330
Евроальянс;1781;Ивановская обл.;1054640
Национальный Резервный Банк;2170;Москва и обл.;1045503
Внешфинбанк;3173;Краснодарский край;982640
Далена Банк;1948;Москва и обл.;963090
Тамбовкредитпромбанк;1312;Тамбовская обл.;956295
Приобье;537;Ханты-Мансийский АО — Югра;934194
Пересвет;2110;Москва и обл.;924574
Банк Кремлевский;2905;Москва и обл.;924451
Первый Дортрансбанк;3271;Кировская обл.;901165
Элита;1399;Калужская обл.;850245
Банк Заречье;817;Татарстан;846976
Костромаселькомбанк;1115;Костромская обл.;799310
