date;ipoteka
01.01.2009;158,30
01.02.2009;195,7
01.03.2009;239,2
01.04.2009;327,1
01.05.2009;290,8
01.06.2009;251,9
01.07.2009;238,6
01.08.2009;262,6
01.09.2009;310,2
01.10.2009;405,7
01.11.2009;426,7
01.12.2009;720,2
01.01.2010;233,00
01.02.2010;393
01.03.2010;527
01.04.2010;705
01.05.2010;603
01.06.2010;804
01.07.2010;704
01.08.2010;786
01.09.2010;856
01.10.2010;818
01.11.2010;943
01.12.2010;1530
01.01.2011;609,00
01.02.2011;1041
01.03.2011;1271
01.04.2011;1428
01.05.2011;1253
01.06.2011;1452
01.07.2011;1392
01.08.2011;1481
01.09.2011;1473
01.10.2011;1540
01.11.2011;1745
01.12.2011;2593
01.01.2012;994,00
01.02.2012;1307
01.03.2012;1969
01.04.2012;1938
01.05.2012;1951
01.06.2012;2029
01.07.2012;2182
01.08.2012;2367
01.09.2012;2092
01.10.2012;2292
01.11.2012;2425
01.12.2012;2565
01.01.2013;1183,00
01.02.2013;1686
01.03.2013;1949
01.04.2013;2494
01.05.2013;2298
01.06.2013;2531
01.07.2013;2702
01.08.2013;2558
01.09.2013;2622
01.10.2013;2971
01.11.2013;3032
01.12.2013;4429
01.01.2014;1987,00
01.02.2014;2613
01.03.2014;3076
01.04.2014;3695
01.05.2014;2984
01.06.2014;3178
01.07.2014;3757
01.08.2014;3549
01.09.2014;3476
01.10.2014;3622
01.11.2014;3271
01.12.2014;5608
01.01.2015;1530,00
01.02.2015;1548
01.03.2015;1610
01.04.2015;1564
01.05.2015;1725
01.06.2015;1924
01.07.2015;2197
01.08.2015;1675
01.09.2015;2487
01.10.2015;2804
01.11.2015;2830
01.12.2015;3939
01.01.2016;1455,00
01.02.2016;2671
01.03.2016;2364
01.04.2016;2490
01.05.2016;2055
01.06.2016;2394
01.07.2016;2222
01.08.2016;2683
01.09.2016;2597
01.10.2016;2573
01.11.2016;2764
01.12.2016;3833
01.01.2017;1528,00
01.02.2017;2073
01.03.2017;2770
01.04.2017;2970
01.05.2017;2929
01.06.2017;2946
01.07.2017;3187
01.08.2017;3399
01.09.2017;3575
01.10.2017;4343
01.11.2017;4786
01.12.2017;5794
01.01.2018;2913,00
01.02.2018;3854
01.03.2018;4430
01.04.2018;4898
01.05.2018;4714
01.06.2018;4470
01.07.2018;4895
01.08.2018;5211
01.09.2018;4986
01.10.2018;5967
01.11.2018;5669
01.12.2018;6386
01.01.2019;3162
01.02.2019;4243
01.03.2019;4101
01.04.2019;4488
01.05.2019;3274
01.06.2019;4025
01.07.2019;3950
01.08.2019;4210
01.09.2019;4486
01.10.2019;5155
01.11.2019;4931
01.12.2019;6276
01.01.2020;3160
01.02.2020;4240
01.03.2020;5413
01.04.2020;3550
01.05.2020;3501
01.06.2020;4684
01.07.2020;6130
01.08.2020;6930
01.09.2020;8720
01.10.2020;9476
01.11.2020;8295
01.12.2020;9947
